com_score,neg_pct
-457,0.0
-455,1.0
-427,1.0
-379,1.0
-371,1.0
-337,1.0
-336,1.0
-314,1.0
-313,0.5
-312,0.0
-310,1.0
-307,0.0
-294,1.0
-286,0.0
-279,1.0
-276,1.0
-272,1.0
-269,1.0
-267,0.0
-266,1.0
-260,1.0
-256,1.0
-249,1.0
-248,1.0
-246,0.5
-238,1.0
-234,1.0
-232,1.0
-230,1.0
-227,1.0
-226,1.0
-225,1.0
-224,1.0
-221,1.0
-219,0.6666666666666666
-218,0.75
-215,1.0
-212,1.0
-211,1.0
-209,1.0
-208,1.0
-207,0.0
-204,1.0
-202,1.0
-198,1.0
-197,1.0
-196,0.5
-195,1.0
-194,1.0
-193,1.0
-192,1.0
-189,1.0
-187,1.0
-186,0.75
-185,1.0
-184,1.0
-182,1.0
-181,1.0
-178,1.0
-177,1.0
-176,1.0
-173,1.0
-172,1.0
-171,1.0
-170,1.0
-169,0.5
-168,0.5
-167,0.5
-166,1.0
-165,0.8333333333333334
-164,1.0
-163,0.75
-162,1.0
-160,1.0
-159,1.0
-158,1.0
-157,1.0
-156,0.6666666666666666
-155,0.8333333333333334
-154,1.0
-153,1.0
-152,0.6666666666666666
-151,1.0
-150,0.3333333333333333
-149,1.0
-148,1.0
-147,1.0
-146,1.0
-145,1.0
-144,1.0
-143,1.0
-142,0.6666666666666666
-141,1.0
-140,1.0
-139,0.8
-138,1.0
-137,1.0
-136,1.0
-135,0.8333333333333334
-134,0.6666666666666666
-133,1.0
-132,1.0
-131,0.5
-130,0.75
-129,0.875
-128,0.625
-127,0.875
-126,0.8181818181818182
-125,0.6666666666666666
-124,0.7142857142857143
-123,1.0
-122,0.75
-121,1.0
-120,1.0
-119,1.0
-118,0.8461538461538461
-117,0.875
-116,1.0
-115,0.875
-114,0.75
-113,0.75
-112,0.7142857142857143
-111,1.0
-110,0.75
-109,0.8
-108,0.8571428571428571
-107,0.7857142857142857
-106,1.0
3124,1.0
3127,1.0
3137,1.0
3141,0.0
3158,1.0
3160,0.0
3163,1.0
3170,1.0
3171,1.0
3172,1.0
3176,1.0
3183,1.0
3202,1.0
3204,1.0
3208,0.0
3220,1.0
3221,1.0
3222,1.0
3224,1.0
3228,1.0
3229,1.0
3234,1.0
3237,1.0
3243,1.0
3250,1.0
3252,1.0
3254,0.0
3261,1.0
3280,0.5
3295,1.0
3296,1.0
3302,1.0
3313,0.5
3321,1.0
3328,1.0
3329,1.0
3331,1.0
3336,1.0
3340,1.0
3349,1.0
3357,1.0
3366,1.0
3367,1.0
3371,1.0
3380,1.0
3389,1.0
3395,1.0
3402,1.0
3403,0.5
3410,0.0
3412,1.0
3427,1.0
3432,1.0
3443,1.0
3467,1.0
3472,1.0
3473,1.0
3474,1.0
3477,1.0
3486,1.0
3501,1.0
3503,1.0
3504,1.0
3509,1.0
3510,1.0
3523,1.0
3524,1.0
3529,1.0
3530,1.0
3532,1.0
3534,1.0
3537,1.0
3543,1.0
3562,1.0
3570,1.0
3586,1.0
3597,1.0
3605,1.0
3608,1.0
3636,1.0
3640,1.0
3641,1.0
3645,1.0
3646,1.0
3651,1.0
3669,1.0
3675,1.0
3688,1.0
3701,1.0
3707,1.0
3709,1.0
3710,1.0
3712,1.0
3714,1.0
3717,1.0
3721,0.0
3726,1.0
3733,1.0
3743,0.5
3753,1.0
3771,1.0
3788,1.0
3803,1.0
3806,1.0
3811,1.0
3815,1.0
3827,1.0
3836,1.0
3851,1.0
3867,1.0
3887,1.0
3930,1.0
3932,1.0
3936,1.0
3939,1.0
3940,1.0
3943,1.0
3953,1.0
3965,1.0
3973,1.0
3974,1.0
3975,1.0
3987,1.0
4008,1.0
4015,1.0
4017,1.0
4058,1.0
4065,1.0
4069,1.0
4075,1.0
4077,1.0
4078,1.0
4089,1.0
4097,1.0
4106,1.0
4137,0.0
4143,1.0
4148,1.0
4175,1.0
4181,0.0
4188,1.0
4223,1.0
4228,1.0
4229,1.0
4245,1.0
4246,1.0
4248,1.0
4253,1.0
4265,1.0
4268,1.0
4273,1.0
4293,1.0
4301,1.0
4306,1.0
4312,1.0
4338,0.0
4347,1.0
4349,1.0
4422,1.0
4428,1.0
4510,1.0
4516,1.0
4530,1.0
4537,1.0
4542,1.0
4565,1.0
4571,1.0
4577,1.0
4578,1.0
4592,1.0
4593,1.0
4608,1.0
4625,1.0
4630,1.0
4669,1.0
4673,1.0
4676,1.0
4677,1.0
4683,1.0
4686,1.0
4691,1.0
4693,1.0
4714,1.0
4740,1.0
4772,1.0
4802,1.0
4813,1.0
4831,0.0
4837,1.0
4849,1.0
4869,1.0
4872,1.0
4878,1.0
4892,1.0
4906,1.0
4912,1.0
4914,1.0
4928,1.0
4960,1.0
4966,1.0
4988,1.0
4993,0.0
5001,1.0
5002,1.0
5010,0.0
5037,1.0
5046,1.0
5056,0.0
5066,1.0
5093,1.0
5101,1.0
5127,1.0
5146,1.0
5174,1.0
5220,1.0
5268,1.0
5274,1.0
5305,0.0
5309,1.0
5315,1.0
5358,1.0
5359,1.0
5366,1.0
5368,1.0
5398,1.0
5399,1.0
5493,1.0
5495,1.0
5591,1.0
5627,0.0
5737,1.0
5756,1.0
5761,1.0
5790,1.0
5794,1.0
5834,1.0
5848,1.0
5855,1.0
5863,1.0
5866,1.0
5872,1.0
5898,1.0
5908,1.0
5916,1.0
5930,1.0
5953,1.0
5962,1.0
5966,1.0
5997,1.0
6037,1.0
6052,1.0
6099,1.0
6126,0.0
6127,0.0
6161,1.0
6166,1.0
6177,0.0
6198,1.0
6205,1.0
6270,1.0
6329,1.0
6339,1.0
6354,1.0
6433,1.0
6451,1.0
6457,1.0
6468,1.0
6472,1.0
6479,1.0
6500,1.0
6501,1.0
6521,1.0
6525,1.0
6603,1.0
6618,1.0
6639,0.0
6675,1.0
6732,0.0
6758,0.0
6839,1.0
6842,0.0
6845,1.0
6932,1.0
6942,1.0
6966,1.0
7010,1.0
7071,1.0
7074,1.0
7080,1.0
7145,1.0
7155,1.0
7242,1.0
7262,1.0
7314,1.0
7315,1.0
7331,1.0
7350,1.0
7392,1.0
7410,1.0
7479,1.0
7524,1.0
7572,1.0
7621,0.0
7678,1.0
7727,1.0
7756,1.0
7878,0.0
8024,1.0
8100,1.0
8166,1.0
8203,1.0
8289,1.0
8303,1.0
8381,1.0
8399,1.0
8493,1.0
8514,1.0
8691,1.0
8860,1.0
8947,1.0
9464,0.0
9538,1.0
9579,1.0
9612,1.0
10007,1.0
10050,1.0
10209,1.0
10420,1.0
10798,1.0
10871,1.0
10968,1.0
11220,1.0
11223,1.0
11256,0.0
11499,1.0
12255,1.0
13264,1.0
14303,1.0
14489,1.0
14604,1.0
