com_score,pos_pct
-457,1.0
-455,1.0
-427,0.0
-379,1.0
-371,0.0
-337,1.0
-336,0.0
-314,0.0
-313,1.0
-312,0.0
-310,0.0
-307,0.0
-294,1.0
-286,1.0
-279,1.0
-276,0.0
-272,0.0
-269,0.0
-267,0.0
-266,0.0
-260,0.0
-256,0.5
-249,0.0
-248,0.0
-246,1.0
-238,0.0
-234,0.0
-232,1.0
-230,1.0
-227,0.0
-226,0.5
-225,0.0
-224,1.0
-221,1.0
-219,0.6666666666666666
-218,0.25
-215,0.75
-212,0.0
-211,0.0
-209,0.0
-208,0.0
-207,1.0
-204,0.0
-202,0.0
-198,1.0
-197,0.3333333333333333
-196,0.0
-195,1.0
-194,0.0
-193,0.0
-192,1.0
-189,0.3333333333333333
-187,0.25
-186,1.0
-185,0.75
-184,0.5
-182,0.25
-181,0.0
-178,1.0
-177,0.25
-176,1.0
-173,0.3333333333333333
-172,0.0
-171,0.5
-170,0.5
-169,0.5
-168,0.5
-167,0.0
-166,0.5
-165,0.5
-164,0.5
-163,0.75
-162,0.0
-160,0.0
-159,0.3333333333333333
-158,1.0
-157,0.3333333333333333
-156,0.3333333333333333
-155,0.5
-154,0.3333333333333333
-153,0.8
-152,0.6666666666666666
-151,0.75
-150,0.6666666666666666
-149,0.3333333333333333
-148,0.75
-147,0.0
-146,0.3333333333333333
-145,0.6
-144,0.4
-143,0.5
-142,0.6666666666666666
-141,0.0
-140,0.0
-139,0.2
-138,0.0
-137,0.0
-136,0.3333333333333333
-135,0.5
-134,0.6666666666666666
-133,0.25
-132,0.3333333333333333
-131,0.0
-130,0.5
-129,0.375
-128,0.5
-127,0.375
-126,0.5454545454545454
-125,0.3333333333333333
-124,0.5714285714285714
-123,0.0
-122,0.5
-121,0.2857142857142857
-120,0.5
-119,0.4
-118,0.3076923076923077
-117,0.375
-116,0.2222222222222222
-115,0.375
-114,0.375
-113,0.5
-112,0.42857142857142855
-111,0.6666666666666666
-110,0.4375
-109,0.4
-108,0.42857142857142855
-107,0.42857142857142855
-106,0.8333333333333334
3124,0.0
3127,0.0
3137,0.0
3141,0.0
3158,1.0
3160,0.0
3163,0.0
3170,0.0
3171,0.0
3172,0.0
3176,1.0
3183,0.0
3202,1.0
3204,0.0
3208,0.0
3220,0.0
3221,0.0
3222,0.0
3224,0.0
3228,0.0
3229,0.0
3234,0.0
3237,1.0
3243,0.0
3250,0.0
3252,0.0
3254,1.0
3261,0.0
3280,1.0
3295,0.0
3296,0.0
3302,0.0
3313,0.5
3321,1.0
3328,0.0
3329,0.0
3331,1.0
3336,0.0
3340,0.0
3349,0.0
3357,0.0
3366,0.0
3367,0.0
3371,1.0
3380,1.0
3389,0.0
3395,0.0
3402,0.0
3403,0.5
3410,0.0
3412,0.0
3427,0.0
3432,1.0
3443,0.0
3467,0.0
3472,0.0
3473,1.0
3474,1.0
3477,1.0
3486,1.0
3501,1.0
3503,1.0
3504,0.0
3509,0.0
3510,0.0
3523,0.0
3524,0.0
3529,0.0
3530,0.0
3532,1.0
3534,0.0
3537,0.0
3543,1.0
3562,1.0
3570,0.0
3586,1.0
3597,0.0
3605,0.0
3608,1.0
3636,0.0
3640,1.0
3641,1.0
3645,0.0
3646,0.0
3651,1.0
3669,0.0
3675,1.0
3688,0.0
3701,0.0
3707,0.0
3709,0.0
3710,0.0
3712,0.0
3714,0.0
3717,0.0
3721,1.0
3726,1.0
3733,0.0
3743,0.5
3753,0.0
3771,0.5
3788,0.0
3803,0.0
3806,1.0
3811,0.0
3815,0.0
3827,0.0
3836,0.0
3851,0.0
3867,0.0
3887,1.0
3930,0.0
3932,0.0
3936,0.0
3939,0.0
3940,0.0
3943,0.0
3953,1.0
3965,1.0
3973,0.0
3974,1.0
3975,0.0
3987,0.0
4008,0.0
4015,0.0
4017,0.0
4058,0.0
4065,0.0
4069,0.0
4075,0.0
4077,0.0
4078,1.0
4089,0.0
4097,1.0
4106,0.0
4137,0.0
4143,1.0
4148,1.0
4175,0.0
4181,0.0
4188,1.0
4223,1.0
4228,0.0
4229,1.0
4245,0.0
4246,0.0
4248,1.0
4253,0.0
4265,1.0
4268,0.0
4273,0.0
4293,0.0
4301,0.0
4306,0.0
4312,0.0
4338,0.0
4347,0.0
4349,1.0
4422,0.0
4428,0.0
4510,0.0
4516,0.0
4530,1.0
4537,0.0
4542,1.0
4565,0.0
4571,1.0
4577,1.0
4578,0.0
4592,1.0
4593,0.0
4608,0.0
4625,0.0
4630,0.0
4669,0.0
4673,1.0
4676,1.0
4677,0.0
4683,0.0
4686,0.0
4691,0.0
4693,0.0
4714,0.0
4740,0.0
4772,0.0
4802,0.0
4813,1.0
4831,1.0
4837,0.0
4849,0.0
4869,1.0
4872,0.0
4878,1.0
4892,0.0
4906,0.0
4912,1.0
4914,0.0
4928,0.0
4960,0.0
4966,1.0
4988,0.0
4993,0.0
5001,0.0
5002,0.0
5010,0.0
5037,1.0
5046,1.0
5056,0.0
5066,0.0
5093,0.0
5101,0.0
5127,0.0
5146,0.0
5174,0.0
5220,1.0
5268,1.0
5274,0.0
5305,1.0
5309,1.0
5315,0.0
5358,0.0
5359,1.0
5366,0.0
5368,1.0
5398,1.0
5399,0.0
5493,0.0
5495,1.0
5591,0.0
5627,0.0
5737,0.0
5756,1.0
5761,1.0
5790,1.0
5794,0.0
5834,0.0
5848,0.0
5855,0.0
5863,0.0
5866,1.0
5872,0.0
5898,0.0
5908,0.0
5916,0.0
5930,0.0
5953,0.0
5962,0.0
5966,0.0
5997,0.0
6037,1.0
6052,0.0
6099,1.0
6126,1.0
6127,0.0
6161,1.0
6166,0.0
6177,0.0
6198,0.0
6205,0.0
6270,1.0
6329,0.0
6339,0.0
6354,0.0
6433,0.0
6451,1.0
6457,1.0
6468,0.0
6472,1.0
6479,0.0
6500,0.0
6501,0.0
6521,0.0
6525,0.0
6603,0.0
6618,0.0
6639,0.0
6675,0.0
6732,0.0
6758,0.0
6839,1.0
6842,0.0
6845,0.0
6932,0.0
6942,0.0
6966,0.0
7010,0.0
7071,0.0
7074,0.0
7080,1.0
7145,0.0
7155,1.0
7242,0.0
7262,0.0
7314,1.0
7315,1.0
7331,0.0
7350,0.0
7392,1.0
7410,0.0
7479,0.0
7524,0.0
7572,0.0
7621,1.0
7678,1.0
7727,0.0
7756,0.0
7878,0.0
8024,0.0
8100,0.0
8166,0.0
8203,1.0
8289,0.0
8303,0.0
8381,1.0
8399,1.0
8493,0.0
8514,0.0
8691,0.0
8860,0.0
8947,0.0
9464,0.0
9538,1.0
9579,1.0
9612,0.0
10007,1.0
10050,0.0
10209,0.0
10420,1.0
10798,0.0
10871,1.0
10968,0.0
11220,0.0
11223,0.0
11256,0.0
11499,0.0
12255,0.0
13264,1.0
14303,0.0
14489,0.0
14604,0.0
